INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 4211002679
INFO: Loaded 1 modules   (1721143 inline 8-bit counters): 1721143 [0x5fedd15fc3e0, 0x5fedd17a0717), 
INFO: Loaded 1 PC tables (1721143 PCs): 1721143 [0x5fedd17a0718,0x5fedd31e3a88), 
INFO:     7276 files found in /home/defkit/noir/compiler/noirc_evaluator/fuzz/corpus/branching
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: seed corpus: files: 7276 min: 30b max: 3726b total: 1893928b rss: 118Mb
#56683	NEW    cov: 11773 ft: 19126 corp: 747/183Kb lim: 3898 exec/s: 1232 rss: 398Mb L: 279/3513 MS: 1 ChangeBit-
#57145	RELOAD cov: 11773 ft: 19131 corp: 748/183Kb lim: 3898 exec/s: 1242 rss: 398Mb
#65253	RELOAD cov: 11773 ft: 19133 corp: 749/183Kb lim: 3975 exec/s: 1305 rss: 398Mb
#65536	pulse  cov: 11773 ft: 19133 corp: 749/183Kb lim: 3986 exec/s: 1310 rss: 398Mb
#66902	RELOAD cov: 11773 ft: 19134 corp: 750/184Kb lim: 3997 exec/s: 1311 rss: 398Mb
#68803	REDUCE cov: 11773 ft: 19134 corp: 750/184Kb lim: 4008 exec/s: 1323 rss: 398Mb L: 43/3513 MS: 1 EraseBytes-
#68907	REDUCE cov: 11773 ft: 19134 corp: 750/183Kb lim: 4008 exec/s: 1325 rss: 398Mb L: 546/3513 MS: 4 PersAutoDict-InsertByte-CMP-EraseBytes- DE: "31"-"\000*"-
#74380	NEW    cov: 11773 ft: 19139 corp: 751/184Kb lim: 4052 exec/s: 1352 rss: 398Mb L: 283/3513 MS: 2 ShuffleBytes-PersAutoDict- DE: "31"-
#78103	RELOAD cov: 11773 ft: 19140 corp: 752/184Kb lim: 4085 exec/s: 1370 rss: 398Mb
#79390	REDUCE cov: 11773 ft: 19140 corp: 752/184Kb lim: 4096 exec/s: 1368 rss: 398Mb L: 251/3513 MS: 2 ChangeASCIIInt-EraseBytes-
#79687	REDUCE cov: 11773 ft: 19140 corp: 752/184Kb lim: 4096 exec/s: 1373 rss: 398Mb L: 145/3513 MS: 2 ChangeBit-EraseBytes-
#79837	REDUCE cov: 11773 ft: 19140 corp: 752/184Kb lim: 4096 exec/s: 1376 rss: 398Mb L: 103/3513 MS: 3 ChangeBinInt-ChangeBit-EraseBytes-
#94539	REDUCE cov: 11773 ft: 19140 corp: 752/184Kb lim: 4096 exec/s: 1432 rss: 398Mb L: 38/3513 MS: 1 EraseBytes-
#99438	RELOAD cov: 11773 ft: 19141 corp: 753/184Kb lim: 4096 exec/s: 1441 rss: 398Mb
#101221	RELOAD cov: 11773 ft: 19142 corp: 754/184Kb lim: 4096 exec/s: 1446 rss: 398Mb
#107135	NEW    cov: 11774 ft: 19143 corp: 755/185Kb lim: 4096 exec/s: 1467 rss: 398Mb L: 199/3513 MS: 4 CrossOver-ChangeASCIIInt-ChangeBit-EraseBytes-
#112794	RELOAD cov: 11774 ft: 19151 corp: 757/185Kb lim: 4096 exec/s: 1484 rss: 398Mb
#118515	RELOAD cov: 11774 ft: 19160 corp: 759/186Kb lim: 4096 exec/s: 1500 rss: 398Mb
#118686	NEW    cov: 11774 ft: 19161 corp: 760/186Kb lim: 4096 exec/s: 1502 rss: 398Mb L: 372/3513 MS: 1 ShuffleBytes-
#119287	REDUCE cov: 11774 ft: 19161 corp: 760/186Kb lim: 4096 exec/s: 1491 rss: 398Mb L: 227/3513 MS: 1 EraseBytes-
#123740	RELOAD cov: 11774 ft: 19163 corp: 761/186Kb lim: 4096 exec/s: 1509 rss: 398Mb
#125937	NEW    cov: 11774 ft: 19164 corp: 762/187Kb lim: 4096 exec/s: 1499 rss: 398Mb L: 360/3513 MS: 2 PersAutoDict-ChangeBit- DE: "\000*"-
#126661	REDUCE cov: 11774 ft: 19164 corp: 762/187Kb lim: 4096 exec/s: 1507 rss: 398Mb L: 303/3513 MS: 4 PersAutoDict-ChangeASCIIInt-ChangeASCIIInt-EraseBytes- DE: "\000*"-
#129275	REDUCE cov: 11774 ft: 19164 corp: 762/187Kb lim: 4096 exec/s: 1503 rss: 398Mb L: 152/3513 MS: 2 ChangeASCIIInt-EraseBytes-
#131072	pulse  cov: 11774 ft: 19164 corp: 762/187Kb lim: 4096 exec/s: 1506 rss: 398Mb
#134338	RELOAD cov: 11774 ft: 19170 corp: 764/187Kb lim: 4096 exec/s: 1509 rss: 398Mb
#136667	REDUCE cov: 11774 ft: 19170 corp: 764/187Kb lim: 4096 exec/s: 1518 rss: 398Mb L: 235/3513 MS: 3 InsertByte-ChangeBinInt-EraseBytes-
#137623	REDUCE cov: 11774 ft: 19170 corp: 764/187Kb lim: 4096 exec/s: 1512 rss: 398Mb L: 237/3513 MS: 1 EraseBytes-
#139015	REDUCE cov: 11774 ft: 19170 corp: 764/187Kb lim: 4096 exec/s: 1527 rss: 398Mb L: 42/3513 MS: 1 EraseBytes-
#145965	REDUCE cov: 11774 ft: 19170 corp: 764/187Kb lim: 4096 exec/s: 1536 rss: 398Mb L: 83/3513 MS: 2 EraseBytes-CopyPart-
#153300	RELOAD cov: 11774 ft: 19184 corp: 766/188Kb lim: 4096 exec/s: 1548 rss: 398Mb
#153512	NEW    cov: 11777 ft: 19187 corp: 767/188Kb lim: 4096 exec/s: 1550 rss: 398Mb L: 279/3513 MS: 2 ShuffleBytes-ChangeBinInt-
#155484	REDUCE cov: 11777 ft: 19187 corp: 767/188Kb lim: 4096 exec/s: 1554 rss: 398Mb L: 179/3513 MS: 2 InsertByte-EraseBytes-
#160723	RELOAD cov: 11777 ft: 19188 corp: 768/188Kb lim: 4096 exec/s: 1560 rss: 398Mb
#162321	RELOAD cov: 11777 ft: 19191 corp: 769/188Kb lim: 4096 exec/s: 1560 rss: 398Mb
#165437	REDUCE cov: 11777 ft: 19191 corp: 769/188Kb lim: 4096 exec/s: 1560 rss: 398Mb L: 249/3513 MS: 1 EraseBytes-
#170495	REDUCE cov: 11777 ft: 19191 corp: 769/188Kb lim: 4096 exec/s: 1564 rss: 398Mb L: 105/3513 MS: 1 EraseBytes-
#175106	NEW    cov: 11777 ft: 19192 corp: 770/189Kb lim: 4096 exec/s: 1563 rss: 398Mb L: 241/3513 MS: 3 PersAutoDict-ChangeBinInt-ShuffleBytes- DE: "31"-
#175408	REDUCE cov: 11777 ft: 19192 corp: 770/189Kb lim: 4096 exec/s: 1566 rss: 398Mb L: 232/3513 MS: 2 ChangeBinInt-EraseBytes-
#185935	REDUCE cov: 11777 ft: 19192 corp: 770/189Kb lim: 4096 exec/s: 1575 rss: 398Mb L: 107/3513 MS: 1 EraseBytes-
#188014	NEW    cov: 11779 ft: 19194 corp: 771/189Kb lim: 4096 exec/s: 1579 rss: 398Mb L: 227/3513 MS: 2 CMP-ShuffleBytes- DE: "&\000\000\000\000\000\000\000"-
#188701	REDUCE cov: 11779 ft: 19194 corp: 771/189Kb lim: 4096 exec/s: 1585 rss: 398Mb L: 60/3513 MS: 2 PersAutoDict-EraseBytes- DE: "\000*"-
#200931	REDUCE cov: 11779 ft: 19194 corp: 771/189Kb lim: 4096 exec/s: 1594 rss: 398Mb L: 51/3513 MS: 2 CrossOver-EraseBytes-
#203627	REDUCE cov: 11779 ft: 19194 corp: 771/189Kb lim: 4096 exec/s: 1590 rss: 398Mb L: 241/3513 MS: 4 ChangeByte-ChangeBit-ChangeBit-EraseBytes-
#210997	REDUCE cov: 11779 ft: 19194 corp: 771/189Kb lim: 4096 exec/s: 1598 rss: 398Mb L: 57/3513 MS: 1 EraseBytes-
#218099	NEW    cov: 11779 ft: 19196 corp: 772/189Kb lim: 4096 exec/s: 1603 rss: 398Mb L: 115/3513 MS: 2 ChangeASCIIInt-ChangeASCIIInt-
#220198	NEW    cov: 11779 ft: 19197 corp: 773/189Kb lim: 4096 exec/s: 1607 rss: 398Mb L: 283/3513 MS: 1 ChangeBinInt-
#229212	REDUCE cov: 11779 ft: 19197 corp: 773/189Kb lim: 4096 exec/s: 1614 rss: 398Mb L: 87/3513 MS: 2 CopyPart-EraseBytes-
#230831	NEW    cov: 11779 ft: 19198 corp: 774/189Kb lim: 4096 exec/s: 1614 rss: 398Mb L: 211/3513 MS: 1 ChangeByte-
#238801	REDUCE cov: 11779 ft: 19198 corp: 774/189Kb lim: 4096 exec/s: 1624 rss: 398Mb L: 35/3513 MS: 3 InsertByte-ChangeByte-EraseBytes-
#241605	NEW    cov: 11780 ft: 19305 corp: 775/190Kb lim: 4096 exec/s: 1621 rss: 398Mb L: 317/3513 MS: 1 ChangeBit-
#242778	REDUCE cov: 11780 ft: 19305 corp: 775/190Kb lim: 4096 exec/s: 1629 rss: 398Mb L: 191/3513 MS: 2 InsertRepeatedBytes-EraseBytes-
#245730	REDUCE cov: 11780 ft: 19305 corp: 775/190Kb lim: 4096 exec/s: 1627 rss: 398Mb L: 143/3513 MS: 2 ChangeBit-EraseBytes-
#248525	REDUCE cov: 11780 ft: 19305 corp: 775/190Kb lim: 4096 exec/s: 1624 rss: 398Mb L: 50/3513 MS: 1 EraseBytes-
#250392	NEW    cov: 11780 ft: 19308 corp: 776/190Kb lim: 4096 exec/s: 1625 rss: 398Mb L: 305/3513 MS: 1 ShuffleBytes-
#251110	REDUCE cov: 11780 ft: 19308 corp: 776/190Kb lim: 4096 exec/s: 1630 rss: 398Mb L: 77/3513 MS: 3 EraseBytes-ShuffleBytes-InsertByte-
#258118	REDUCE cov: 11780 ft: 19308 corp: 776/190Kb lim: 4096 exec/s: 1633 rss: 398Mb L: 251/3513 MS: 2 ChangeASCIIInt-EraseBytes-
#258235	RELOAD cov: 11780 ft: 19314 corp: 777/190Kb lim: 4096 exec/s: 1634 rss: 398Mb
#260598	REDUCE cov: 11780 ft: 19314 corp: 777/190Kb lim: 4096 exec/s: 1628 rss: 398Mb L: 115/3513 MS: 3 ChangeBit-EraseBytes-InsertByte-
#262144	pulse  cov: 11780 ft: 19314 corp: 777/190Kb lim: 4096 exec/s: 1638 rss: 398Mb
#269095	RELOAD cov: 11780 ft: 19315 corp: 778/190Kb lim: 4096 exec/s: 1640 rss: 398Mb
#275196	REDUCE cov: 11780 ft: 19315 corp: 778/190Kb lim: 4096 exec/s: 1638 rss: 398Mb L: 103/3513 MS: 1 EraseBytes-
#276803	REDUCE cov: 11780 ft: 19315 corp: 778/190Kb lim: 4096 exec/s: 1637 rss: 398Mb L: 211/3513 MS: 1 EraseBytes-
#278561	RELOAD cov: 11780 ft: 19316 corp: 779/191Kb lim: 4096 exec/s: 1648 rss: 398Mb
#282140	RELOAD cov: 11780 ft: 19319 corp: 780/191Kb lim: 4096 exec/s: 1640 rss: 398Mb
#285456	NEW    cov: 11780 ft: 19321 corp: 781/191Kb lim: 4096 exec/s: 1650 rss: 398Mb L: 291/3513 MS: 1 ShuffleBytes-
#294602	RELOAD cov: 11780 ft: 19322 corp: 782/192Kb lim: 4096 exec/s: 1645 rss: 398Mb
#296546	REDUCE cov: 11780 ft: 19322 corp: 782/192Kb lim: 4096 exec/s: 1647 rss: 398Mb L: 48/3513 MS: 4 CopyPart-ChangeByte-ShuffleBytes-EraseBytes-
#302686	NEW    cov: 11780 ft: 19323 corp: 783/192Kb lim: 4096 exec/s: 1654 rss: 398Mb L: 391/3513 MS: 4 ChangeASCIIInt-PersAutoDict-ShuffleBytes-InsertRepeatedBytes- DE: "31"-
#304484	REDUCE cov: 11780 ft: 19323 corp: 783/192Kb lim: 4096 exec/s: 1654 rss: 398Mb L: 33/3513 MS: 2 CrossOver-EraseBytes-
	NEW_FUNC[1/1]: 0x5fedcc3e9390  (/home/defkit/noir/target/x86_64-unknown-linux-gnu/release/branching+0x3c69390) (BuildId: 440d66c7fca2b3810ea64988ab115fa884c7a20a)
#305520	RELOAD cov: 11789 ft: 19332 corp: 784/192Kb lim: 4096 exec/s: 1651 rss: 398Mb
#305752	NEW    cov: 11789 ft: 19334 corp: 785/193Kb lim: 4096 exec/s: 1652 rss: 398Mb L: 1381/3513 MS: 2 ShuffleBytes-EraseBytes-
#312399	RELOAD cov: 11790 ft: 19338 corp: 786/194Kb lim: 4096 exec/s: 1652 rss: 398Mb
#313254	REDUCE cov: 11790 ft: 19338 corp: 786/194Kb lim: 4096 exec/s: 1648 rss: 398Mb L: 36/3513 MS: 5 ChangeBinInt-PersAutoDict-ChangeByte-PersAutoDict-EraseBytes- DE: "\000*"-"&\000\000\000\000\000\000\000"-
#314226	RELOAD cov: 11790 ft: 19357 corp: 787/194Kb lim: 4096 exec/s: 1653 rss: 398Mb
#319243	REDUCE cov: 11790 ft: 19357 corp: 787/194Kb lim: 4096 exec/s: 1654 rss: 398Mb L: 316/3513 MS: 1 EraseBytes-
#324341	NEW    cov: 11790 ft: 19362 corp: 788/194Kb lim: 4096 exec/s: 1654 rss: 398Mb L: 181/3513 MS: 1 CopyPart-
#324587	NEW    cov: 11790 ft: 19384 corp: 789/196Kb lim: 4096 exec/s: 1656 rss: 398Mb L: 2013/3513 MS: 1 ChangeASCIIInt-
#326932	NEW    cov: 11790 ft: 19387 corp: 790/197Kb lim: 4096 exec/s: 1651 rss: 398Mb L: 321/3513 MS: 1 ChangeASCIIInt-
#330275	RELOAD cov: 11791 ft: 19402 corp: 791/197Kb lim: 4096 exec/s: 1651 rss: 398Mb
#331902	RELOAD cov: 11791 ft: 19407 corp: 792/197Kb lim: 4096 exec/s: 1651 rss: 398Mb
#333448	NEW    cov: 11791 ft: 19410 corp: 793/197Kb lim: 4096 exec/s: 1658 rss: 398Mb L: 251/3513 MS: 1 ChangeASCIIInt-
#339018	REDUCE cov: 11791 ft: 19410 corp: 793/197Kb lim: 4096 exec/s: 1661 rss: 398Mb L: 305/3513 MS: 2 CopyPart-EraseBytes-
#339411	RELOAD cov: 11791 ft: 19412 corp: 794/198Kb lim: 4096 exec/s: 1655 rss: 398Mb
#344785	REDUCE cov: 11791 ft: 19412 corp: 794/198Kb lim: 4096 exec/s: 1657 rss: 398Mb L: 512/3513 MS: 1 EraseBytes-
#344887	RELOAD cov: 11791 ft: 19430 corp: 795/198Kb lim: 4096 exec/s: 1658 rss: 398Mb
#345615	REDUCE cov: 11791 ft: 19430 corp: 795/198Kb lim: 4096 exec/s: 1661 rss: 398Mb L: 79/3513 MS: 3 PersAutoDict-ChangeBit-EraseBytes- DE: "31"-
#356224	REDUCE cov: 11791 ft: 19430 corp: 795/198Kb lim: 4096 exec/s: 1664 rss: 398Mb L: 37/3513 MS: 1 EraseBytes-
#361058	RELOAD cov: 11791 ft: 19440 corp: 796/198Kb lim: 4096 exec/s: 1663 rss: 398Mb
#362872	RELOAD cov: 11791 ft: 19444 corp: 797/199Kb lim: 4096 exec/s: 1664 rss: 398Mb
#363099	REDUCE cov: 11791 ft: 19444 corp: 797/199Kb lim: 4096 exec/s: 1665 rss: 398Mb L: 283/3513 MS: 2 ChangeBit-EraseBytes-
#363609	REDUCE cov: 11791 ft: 19444 corp: 797/198Kb lim: 4096 exec/s: 1660 rss: 398Mb L: 275/3513 MS: 5 InsertByte-InsertByte-ChangeBit-ChangeByte-EraseBytes-
#364105	REDUCE cov: 11791 ft: 19444 corp: 797/198Kb lim: 4096 exec/s: 1662 rss: 398Mb L: 48/3513 MS: 1 EraseBytes-
#365970	REDUCE cov: 11791 ft: 19444 corp: 797/198Kb lim: 4096 exec/s: 1663 rss: 398Mb L: 279/3513 MS: 1 EraseBytes-
#366613	RELOAD cov: 11791 ft: 19446 corp: 798/199Kb lim: 4096 exec/s: 1666 rss: 398Mb
#376086	REDUCE cov: 11791 ft: 19446 corp: 798/199Kb lim: 4096 exec/s: 1664 rss: 398Mb L: 151/3513 MS: 3 ChangeByte-ShuffleBytes-EraseBytes-
#383642	NEW    cov: 11791 ft: 19447 corp: 799/199Kb lim: 4096 exec/s: 1668 rss: 398Mb L: 251/3513 MS: 1 ChangeBinInt-
#386524	RELOAD cov: 11791 ft: 19450 corp: 800/199Kb lim: 4096 exec/s: 1666 rss: 398Mb
#398810	REDUCE cov: 11791 ft: 19450 corp: 800/199Kb lim: 4096 exec/s: 1668 rss: 398Mb L: 34/3513 MS: 5 ChangeBit-ShuffleBytes-ChangeASCIIInt-CopyPart-EraseBytes-
#400822	NEW    cov: 11791 ft: 19451 corp: 801/199Kb lim: 4096 exec/s: 1670 rss: 398Mb L: 133/3513 MS: 1 ChangeASCIIInt-
#400979	RELOAD cov: 11793 ft: 19466 corp: 802/200Kb lim: 4096 exec/s: 1670 rss: 398Mb
#401075	REDUCE cov: 11793 ft: 19466 corp: 802/200Kb lim: 4096 exec/s: 1671 rss: 398Mb L: 213/3513 MS: 1 EraseBytes-
#401971	REDUCE cov: 11793 ft: 19467 corp: 803/200Kb lim: 4096 exec/s: 1667 rss: 398Mb L: 232/3513 MS: 1 CMP- DE: "0x"-
